Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
48,Rafael Leão,pt POR,FW,Milan,it Serie A,26-207,1999,11,9,726,8.1,0.74,0.12,0.86,0.49,0.25,0.25,0.12,0.00,0.53,0.35,0.27,0.60,2.72,2.47,5.43,0.74,0.12,0.87,0.50,0.62,0.54,0.27,0.80,0.34,0.61,Matches
49,Said El Mala,de GER,"FW,MF",Köln,de Bundesliga,19-130,2006,15,6,682,7.6,0.79,0.26,01.05,0.79,0.00,0.00,0.00,0.00,0.57,0.57,0.17,0.74,3.42,1.18,8.55,0.79,0.26,01.06,0.79,01.06,0.57,0.17,0.74,0.57,0.74,Matches
50,Bryan Mbeumo,cm CMR,MF,Manchester Utd,eng Premier League,26-149,1999,16,16,"1,403",15.6,0.38,0.06,0.45,0.38,0.00,0.00,0.19,0.00,0.35,0.35,0.20,0.56,2.63,2.82,9.29,0.38,0.06,0.45,0.38,0.45,0.36,0.20,0.56,0.36,0.56,Matches
51,Pere Milla,es ESP,"FW,MF",Espanyol,es La Liga,33-102,1992,15,14,"1,06",11.8,0.51,0.00,0.51,0.51,0.00,0.00,0.34,0.08,0.42,0.42,0.14,0.57,1.61,2.97,4.32,0.51,0.00,0.51,0.51,0.51,0.42,0.15,0.57,0.42,0.57,Matches
52,Rafa Mir,es ESP,"FW,MF",Elche,es La Liga,28-199,1997,17,14,"1,23",13.7,0.44,0.00,0.44,0.44,0.00,0.07,0.07,0.00,0.41,0.35,0.04,0.39,01.09,2.85,5.18,0.44,0.00,0.44,0.44,0.44,0.41,0.04,0.45,0.35,0.39,Matches
53,Alberto Moleiro,es ESP,"MF,FW",Villarreal,es La Liga,22-095,2003,16,13,995,11.1,0.54,0.18,0.72,0.54,0.00,0.00,0.18,0.00,0.32,0.32,0.24,0.56,3.15,3.15,5.50,0.54,0.18,0.72,0.54,0.72,0.32,0.24,0.56,0.32,0.56,Matches
54,Riccardo Orsolini,it ITA,FW,Bologna,it Serie A,28-344,1997,16,14,"1,12",12.4,0.48,0.08,0.56,0.24,0.24,0.32,0.08,0.00,0.44,0.19,0.10,0.28,2.90,2.90,8.39,0.48,0.08,0.56,0.24,0.32,0.44,0.09,0.53,0.18,0.28,Matches
55,Nicolás Paz,ar ARG,MF,Como,it Serie A,21-117,2004,16,16,"1,419",15.8,0.38,0.38,0.76,0.38,0.00,0.00,0.19,0.00,0.19,0.19,0.25,0.44,2.47,6.58,5.13,0.38,0.38,0.76,0.38,0.76,0.19,0.25,0.44,0.19,0.44,Matches
56,Kevin Schade,de GER,FW,Brentford,eng Premier League,24-037,2001,18,17,"1,492",16.6,0.36,0.06,0.42,0.36,0.00,0.06,0.30,0.00,0.40,0.35,0.10,0.45,1.69,1.57,3.98,0.36,0.06,0.42,0.36,0.42,0.40,0.10,0.50,0.35,0.45,Matches
57,Patrik Schick,cz CZE,FW,Leverkusen,de Bundesliga,29-344,1996,12,11,850,9.4,0.64,0.21,0.85,0.43,0.21,0.21,0.00,0.00,0.66,0.49,0.07,0.56,0.21,1.28,3.30,0.64,0.21,0.85,0.42,0.64,0.65,0.08,0.73,0.49,0.56,Matches
58,Lassine Sinayoko,ml MLI,"FW,MF",Auxerre,fr Ligue 1,26-026,1999,16,16,"1,346",15.0,0.40,0.13,0.53,0.20,0.20,0.27,0.13,0.00,0.40,0.19,0.17,0.36,1.40,2.67,7.00,0.40,0.13,0.53,0.20,0.33,0.40,0.17,0.57,0.19,0.36,Matches
59,Pavel Šulc,cz CZE,"FW,MF",Lyon,fr Ligue 1,25-005,2000,15,8,807,9.0,0.67,0.22,0.89,0.67,0.00,0.00,0.22,0.00,0.53,0.53,0.22,0.74,2.22,2.78,5.00,0.67,0.22,0.89,0.67,0.89,0.54,0.22,0.75,0.54,0.75,Matches
60,Ollie Watkins,eng ENG,FW,Aston Villa,eng Premier League,30-004,1995,19,16,"1,391",15.5,0.39,0.06,0.45,0.39,0.00,0.00,0.06,0.00,0.44,0.44,0.08,0.52,2.00,0.90,6.19,0.39,0.06,0.45,0.39,0.45,0.44,0.08,0.52,0.44,0.52,Matches
61,Kenan Yıldız,tr TUR,"MF,FW",Juventus,it Serie A,20-244,2005,16,15,"1,336",14.8,0.41,0.27,0.68,0.34,0.07,0.07,0.00,0.00,0.29,0.24,0.28,0.51,4.93,3.72,7.77,0.40,0.27,0.67,0.34,0.61,0.29,0.28,0.57,0.24,0.51,Matches
62,Ilyas Ansah,de GER,"MF,FW",Union Berlin,de Bundesliga,21-056,2004,15,13,"1,09",12.1,0.41,0.08,0.50,0.41,0.00,0.00,0.00,0.00,0.17,0.17,0.09,0.26,1.90,1.74,4.46,0.41,0.08,0.50,0.41,0.50,0.16,0.09,0.26,0.16,0.26,Matches
63,Antony,br BRA,FW,Betis,es La Liga,25-313,2000,12,12,996,11.1,0.45,0.18,0.63,0.45,0.00,0.00,0.09,0.09,0.36,0.36,0.16,0.52,5.59,4.77,10.1,0.45,0.18,0.63,0.45,0.63,0.36,0.16,0.53,0.36,0.53,Matches
64,Hákon Arnar Haraldsson,is ISL,"MF,FW",Lille,fr Ligue 1,22-268,2003,15,13,"1,113",12.4,0.40,0.08,0.48,0.40,0.00,0.00,0.24,0.00,0.33,0.33,0.18,0.50,3.15,05.08,5.97,0.40,0.08,0.49,0.40,0.49,0.33,0.17,0.50,0.33,0.50,Matches
65,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,fr Ligue 1,36-199,1989,14,10,945,10.5,0.48,0.48,0.95,0.48,0.00,0.00,0.00,0.00,0.59,0.59,0.24,0.83,1.52,2.10,5.71,0.48,0.48,0.95,0.48,0.95,0.59,0.24,0.83,0.59,0.83,Matches
66,Bradley Barcola,fr FRA,FW,Paris S-G,fr Ligue 1,23-123,2002,13,9,785,8.7,0.57,0.00,0.57,0.57,0.00,0.00,0.23,0.00,0.45,0.45,0.22,0.67,4.48,4.37,15.1,0.57,0.00,0.57,0.57,0.57,0.45,0.22,0.67,0.45,0.67,Matches
67,Federico Bonazzoli,it ITA,FW,Cremonese,it Serie A,28-227,1997,14,11,873,9.7,0.52,0.10,0.62,0.41,0.10,0.10,0.10,0.00,0.33,0.25,0.11,0.36,01.03,2.58,3.92,0.52,0.10,0.62,0.41,0.52,0.33,0.12,0.45,0.25,0.36,Matches
68,Tajon Buchanan,ca CAN,"MF,DF",Villarreal,es La Liga,26-329,1999,16,10,987,11.0,0.45,0.00,0.45,0.45,0.00,0.00,0.45,0.00,0.11,0.11,0.12,0.23,03.09,2.36,6.91,0.46,0.00,0.46,0.46,0.46,0.11,0.12,0.22,0.11,0.22,Matches
69,Keinan Davis,eng ENG,FW,Udinese,it Serie A,27-324,1998,16,14,995,11.1,0.45,0.18,0.63,0.27,0.18,0.18,0.27,0.00,0.45,0.31,0.14,0.44,1.62,0.90,4.95,0.45,0.18,0.63,0.27,0.45,0.45,0.14,0.59,0.31,0.44,Matches
70,Karl Etta Eyong,cm CMR,FW,Levante,es La Liga,22-081,2003,12,12,959,10.7,0.47,0.09,0.56,0.47,0.00,0.09,0.19,0.00,0.50,0.44,0.14,0.58,0.56,0.93,4.39,0.47,0.09,0.56,0.47,0.56,0.51,0.14,0.65,0.44,0.58,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
71,Ansu Fati,es ESP,"MF,FW",Monaco,fr Ligue 1,23-064,2002,10,4,426,4.7,01.06,0.00,01.06,0.43,0.64,0.85,0.21,0.00,1.45,0.74,0.17,0.91,2.34,3.62,6.60,01.06,0.00,01.06,0.42,0.42,1.45,0.17,1.61,0.75,0.92,Matches
72,Bruno Fernandes,pt POR,MF,Manchester Utd,eng Premier League,31-117,1994,17,17,"1,475",16.4,0.30,0.43,0.73,0.18,0.12,0.24,0.12,0.00,0.43,0.24,0.29,0.52,1.71,8.41,3.29,0.31,0.43,0.73,0.18,0.61,0.42,0.29,0.71,0.24,0.53,Matches
73,Enzo Fernández,ar ARG,MF,Chelsea,eng Premier League,24-351,2001,18,17,"1,547",17.2,0.29,0.06,0.35,0.23,0.06,0.06,0.17,0.00,0.40,0.35,0.20,0.55,1.40,7.91,3.72,0.29,0.06,0.35,0.23,0.29,0.40,0.20,0.59,0.35,0.55,Matches
