Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
2068,Chris Richards,us USA,DF,Crystal Palace,eng Premier League,25-281,2000,17,17,"1,522",16.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.02,0.04,0.41,1.95,0.41,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
2069,Amir Richardson,ma MAR,MF,Fiorentina,it Serie A,23-344,2002,2,0,42,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,6.00,8.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches
2070,Diego Rico,es ESP,DF,Getafe,es La Liga,32-314,1993,17,14,"1,351",15.0,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.01,0.01,0.05,0.06,0.73,4.47,2.40,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.06,0.01,0.06,Matches
2071,Clemens Riedel,de GER,DF,Espanyol,es La Liga,22-168,2003,8,6,518,5.8,0.00,0.17,0.17,0.00,0.00,0.00,0.34,0.00,0.02,0.02,0.00,0.03,0.17,2.59,0.34,0.00,0.17,0.17,0.00,0.17,0.02,0.01,0.03,0.02,0.03,Matches
2072,Fabian Rieder,ch SUI,MF,Rennes,fr Ligue 1,23-321,2002,3,2,133,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.67,3.33,2.67,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.15,0.00,0.15,Matches
2073,Lasse Rieß,de GER,GK,Mainz 05,de Bundesliga,24-160,2001,4,3,292,3.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2074,Chris Rigg,eng ENG,"MF,FW",Sunderland,eng Premier League,18-199,2007,8,5,317,3.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.09,0.17,0.29,2.00,4.86,0.00,0.00,0.00,0.00,0.00,0.08,0.09,0.17,0.08,0.17,Matches
2075,Hugo Rincón,es ESP,"DF,MF",Girona,es La Liga,22-341,2003,15,6,769,8.5,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.07,0.07,0.08,0.15,2.24,2.82,6.00,0.00,0.00,0.00,0.00,0.00,0.07,0.08,0.15,0.07,0.15,Matches
2076,Rodrigo Riquelme,es ESP,"FW,MF",Betis,es La Liga,25-276,2000,13,7,534,5.9,0.00,0.17,0.17,0.00,0.00,0.00,0.00,0.00,0.17,0.17,0.27,0.44,4.58,3.73,5.76,0.00,0.17,0.17,0.00,0.17,0.17,0.26,0.43,0.17,0.43,Matches
2077,Robin Risser,fr FRA,GK,Lens,fr Ligue 1,21-032,2004,17,17,"1,53",17.0,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2078,Mihailo Ristić,rs SRB,"DF,MF",Celta Vigo,es La Liga,30-064,1995,4,4,251,2.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,3.57,3.57,1.79,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
2079,Lars Ritzka,de GER,DF,St. Pauli,de Bundesliga,27-241,1998,8,4,329,3.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.27,2.43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2080,Sergi Roberto,es ESP,MF,Como,it Serie A,33-330,1992,5,2,184,2.0,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.20,0.20,0.05,0.25,1.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.05,0.22,0.17,0.22,Matches
2081,Patrick Roberts,eng ENG,"MF,FW",Sunderland,eng Premier League,28-332,1997,1,0,28,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.33,3.33,13.3,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
2082,Andrew Robertson,sct SCO,DF,Liverpool,eng Premier League,31-298,1994,12,4,488,5.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.11,0.15,2.22,7.59,5.74,0.00,0.00,0.00,0.00,0.00,0.04,0.10,0.14,0.04,0.14,Matches
2083,Antonee Robinson,us USA,DF,Fulham,eng Premier League,28-148,1997,7,4,424,4.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.17,0.21,3.19,4.68,8.51,0.00,0.00,0.00,0.00,0.00,0.05,0.16,0.21,0.05,0.21,Matches
2084,Marc Roca,es ESP,MF,Betis,es La Liga,29-038,1996,12,9,750,8.3,0.00,0.12,0.12,0.00,0.00,0.00,0.12,0.00,0.08,0.08,0.12,0.22,0.36,4.22,0.84,0.00,0.12,0.12,0.00,0.12,0.09,0.12,0.21,0.09,0.21,Matches
2085,Ryan Rodin,fr FRA,FW,Auxerre,fr Ligue 1,19-307,2006,1,0,8,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2086,Rodri,es ESP,MF,Manchester City,eng Premier League,29-195,1996,7,4,338,3.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.16,0.21,1.84,6.58,1.32,0.00,0.00,0.00,0.00,0.00,0.04,0.16,0.20,0.04,0.20,Matches
2087,Damián Rodríguez,es ESP,MF,Celta Vigo,es La Liga,22-292,2003,2,2,150,1.7,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.06,0.06,0.06,0.06,1.18,6.47,1.76,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.09,0.04,0.09,Matches
2088,Dani Rodríguez,es ESP,MF,Mallorca,es La Liga,37-211,1988,2,0,68,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.00,1.25,6.25,0.00,0.00,0.00,0.00,0.00,0.03,0.05,0.07,0.03,0.07,Matches
2089,Guido Rodríguez,ar ARG,MF,West Ham,eng Premier League,31-266,1994,5,2,168,1.9,0.00,0.00,0.00,0.00,0.00,0.00,0.53,0.00,0.00,0.00,0.00,0.00,0.00,4.21,2.11,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
2090,Javi Rodríguez,es ESP,DF,Celta Vigo,es La Liga,22-191,2003,14,10,984,10.9,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.02,0.02,0.02,0.04,0.83,5.78,1.56,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.04,0.02,0.04,Matches
2091,Jesus Rodríguez,es ESP,FW,Como,it Serie A,20-043,2005,13,8,796,8.8,0.00,0.45,0.45,0.00,0.00,0.00,0.00,0.11,0.18,0.18,0.31,0.48,06.02,2.50,09.09,0.00,0.45,0.45,0.00,0.45,0.18,0.30,0.48,0.18,0.48,Matches
2092,Juan Rodríguez,uy URU,DF,Cagliari,it Serie A,20-218,2005,4,4,335,3.7,0.00,0.00,0.00,0.00,0.00,0.00,0.27,0.00,0.00,0.00,0.00,0.00,0.54,1.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2093,Ricardo Rodríguez,ch SUI,DF,Betis,es La Liga,33-131,1992,11,8,676,7.5,0.00,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.05,0.07,2.00,2.93,01.07,0.00,0.13,0.13,0.00,0.13,0.01,0.05,0.06,0.01,0.06,Matches
2094,Robin Roefs,nl NED,GK,Sunderland,eng Premier League,22-351,2003,19,19,"1,71",19.0,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
2095,Merlin Röhl,de GER,"MF,FW",Everton,eng Premier League,23-182,2002,7,1,223,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.04,0.20,2.00,2.00,4.40,0.00,0.00,0.00,0.00,0.00,0.19,0.03,0.22,0.19,0.22,Matches
2096,Merlin Röhl,de GER,"FW,MF",Freiburg,de Bundesliga,23-182,2002,2,0,66,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.43,1.43,7.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2097,Filippo Romagna,it ITA,DF,Sassuolo,it Serie A,28-222,1997,3,3,201,2.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.45,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
2098,Alessio Romagnoli,it ITA,DF,Lazio,it Serie A,30-356,1995,15,15,"1,289",14.3,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.01,0.01,0.01,0.01,0.07,2.31,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,Matches
2099,Leo Román,es ESP,GK,Mallorca,es La Liga,25-181,2000,12,12,"1,08",12.0,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2100,Marten de Roon,nl NED,"MF,DF",Atalanta,it Serie A,34-280,1991,14,13,"1,084",12.0,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.08,0.05,0.05,0.03,0.07,0.67,5.83,0.92,0.00,0.00,0.00,0.00,0.00,0.05,0.03,0.08,0.05,0.08,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
2101,Pablo Rosario,do DOM,MF,Nice,fr Ligue 1,28-361,1997,1,0,28,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.33,0.33,3.33,6.67,6.67,0.00,0.00,0.00,0.00,0.00,0.30,0.16,0.47,0.30,0.47,Matches
2102,Max Rosenfelder,de GER,DF,Freiburg,de Bundesliga,22-327,2003,7,2,229,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.40,1.60,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2103,Lucas Rosier,fr FRA,FW,Rennes,fr Ligue 1,18-297,2007,2,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2104,Valentin Rosier,fr FRA,"DF,MF",Osasuna,es La Liga,29-137,1996,10,9,701,7.8,0.00,0.13,0.13,0.00,0.00,0.00,0.38,0.13,0.01,0.01,0.08,0.08,1.79,2.31,5.13,0.00,0.13,0.13,0.00,0.13,0.01,0.07,0.08,0.01,0.08,Matches
2105,Nicolò Rovella,it ITA,MF,Lazio,it Serie A,24-030,2001,4,3,200,2.2,0.00,0.45,0.45,0.00,0.00,0.00,0.45,0.00,0.00,0.00,0.73,0.77,1.36,7.27,0.45,0.00,0.45,0.45,0.00,0.45,0.01,0.74,0.76,0.01,0.76,Matches
2106,Jonathan Rowe,eng ENG,FW,Bologna,it Serie A,22-248,2003,8,4,377,4.2,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.38,0.38,0.17,0.52,3.10,3.81,8.33,0.00,0.00,0.00,0.00,0.00,0.37,0.16,0.53,0.37,0.53,Matches
2107,Jonathan Rowe,eng ENG,FW,Marseille,fr Ligue 1,22-248,2003,1,1,62,0.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.00,0.29,1.43,2.86,14.3,0.00,0.00,0.00,0.00,0.00,0.35,0.00,0.35,0.35,0.35,Matches
2108,Amir Rrahmani,xk KVX,DF,Napoli,it Serie A,31-313,1994,9,9,783,8.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.01,0.06,0.11,5.98,0.46,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.06,0.05,0.06,Matches
2109,Rubén,es ESP,"DF,MF",Espanyol,es La Liga,24-333,2001,10,3,328,3.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,5.28,6.94,4.44,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches
2110,Antonio Rüdiger,de GER,DF,Real Madrid,es La Liga,32-306,1993,6,5,517,5.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.05,0.53,3.68,0.18,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05,Matches
2111,Daniele Rugani,it ITA,DF,Juventus,it Serie A,31-158,1994,6,3,250,2.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.36,0.36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2112,Matteo Ruggeri,it ITA,DF,Atlético Madrid,es La Liga,23-176,2002,12,8,729,8.1,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.01,0.01,0.09,0.09,1.98,04.07,06.05,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.09,0.01,0.09,Matches
2113,Abel Ruiz,es ESP,"FW,MF",Girona,es La Liga,25-340,2000,3,0,37,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,12.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2114,Gerónimo Rulli,ar ARG,GK,Marseille,fr Ligue 1,33-228,1992,13,13,"1,17",13.0,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2115,Mathew Ryan,au AUS,GK,Levante,es La Liga,33-270,1992,14,14,"1,26",14.0,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2116,Julian Ryerson,no NOR,"DF,MF",Dortmund,de Bundesliga,28-047,1997,14,9,859,9.5,0.00,0.32,0.32,0.00,0.00,0.00,0.42,0.00,0.03,0.03,0.29,0.33,3.26,4.84,09.05,0.00,0.31,0.31,0.00,0.31,0.03,0.30,0.33,0.03,0.33,Matches
2117,Frederik Rønnow,dk DEN,GK,Union Berlin,de Bundesliga,33-152,1992,15,15,"1,35",15.0,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2118,Alexander Røssing-Lelesiit,no NOR,"FW,MF",Hamburger SV,de Bundesliga,18-348,2007,8,4,284,3.2,0.00,0.31,0.31,0.00,0.00,0.00,0.63,0.31,0.00,0.00,0.16,0.16,2.19,2.50,6.56,0.00,0.32,0.32,0.00,0.32,0.01,0.16,0.17,0.01,0.17,Matches
2119,José Sá,pt POR,GK,Wolves,eng Premier League,32-351,1993,7,7,630,7.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
2120,Elias Saad,tn TUN,"MF,FW",Augsburg,de Bundesliga,26-007,1999,10,7,497,5.5,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.09,0.09,0.13,0.24,2.73,2.18,7.82,0.00,0.00,0.00,0.00,0.00,0.09,0.13,0.23,0.09,0.23,Matches
2121,Stefano Sabelli,it ITA,DF,Genoa,it Serie A,32-355,1993,5,4,259,2.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,1.72,02.07,0.34,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04,Matches
2122,Abdelhamid Sabiri,ma MAR,MF,Fiorentina,it Serie A,29-036,1996,1,0,27,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.33,0.00,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.41,0.45,0.04,0.45,Matches
2123,Marcel Sabitzer,at AUT,MF,Dortmund,de Bundesliga,31-292,1994,12,8,743,8.3,0.00,0.12,0.12,0.00,0.00,0.00,0.12,0.00,0.06,0.06,0.10,0.16,0.84,6.39,1.57,0.00,0.12,0.12,0.00,0.12,0.06,0.10,0.16,0.06,0.16,Matches
2124,Noah Sadiki,cd COD,MF,Sunderland,eng Premier League,21-017,2004,16,16,"1,412",15.7,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.02,0.02,0.03,0.04,1.91,2.99,2.48,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches
2125,Umar Sadiq,ng NGA,FW,Real Sociedad,es La Liga,28-335,1997,5,2,153,1.7,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.00,0.12,0.12,0.00,0.12,0.00,0.00,3.53,0.00,0.00,0.00,0.00,0.00,0.11,0.03,0.14,0.11,0.14,Matches
2126,Matvei Safonov,ru RUS,GK,Paris S-G,fr Ligue 1,26-312,1999,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2127,Emir Sahiti,xk KVX,FW,Hamburger SV,de Bundesliga,27-035,1998,2,2,120,1.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.85,0.77,2.31,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches
2128,Mathis Saka,fr FRA,MF,Toulouse,fr Ligue 1,19-105,2006,1,0,8,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2129,Álex Sala,es ESP,"MF,FW",Lecce,it Serie A,24-269,2001,5,2,135,1.5,0.00,0.67,0.67,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.07,0.27,2.00,4.67,6.67,0.00,0.67,0.67,0.00,0.67,0.17,0.07,0.24,0.17,0.24,Matches
2130,Ibrahim Salah,ma MAR,FW,Rennes,fr Ligue 1,24-126,2001,2,0,35,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.50,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches
2131,Jan Salas,es ESP,MF,Mallorca,es La Liga,20-146,2005,2,0,17,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2132,Kike Salas,es ESP,DF,Sevilla,es La Liga,23-255,2002,6,4,412,4.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,0.43,5.65,0.65,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
2133,Manolis Saliakas,gr GRE,DF,St. Pauli,de Bundesliga,29-113,1996,8,4,451,5.0,0.00,0.20,0.20,0.00,0.00,0.00,0.40,0.00,0.04,0.04,0.04,0.08,1.80,5.40,4.40,0.00,0.20,0.20,0.00,0.20,0.03,0.04,0.07,0.03,0.07,Matches
2134,William Saliba,fr FRA,DF,Arsenal,eng Premier League,24-285,2001,15,14,"1,174",13.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.01,0.02,0.31,3.92,0.31,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches
2135,José Salinas,es ESP,"DF,FW",Espanyol,es La Liga,25-095,2000,8,1,141,1.6,0.00,0.00,0.00,0.00,0.00,0.00,0.63,0.00,0.00,0.00,0.06,0.06,1.88,5.00,13.1,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,Matches
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
2136,Mbwana Samatta,tz TAN,FW,Le Havre,fr Ligue 1,33-011,1992,11,9,689,7.7,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.23,0.23,0.06,0.30,0.91,1.43,4.81,0.00,0.00,0.00,0.00,0.00,0.24,0.06,0.30,0.24,0.30,Matches
2137,Brice Samba,fr FRA,GK,Rennes,fr Ligue 1,31-253,1994,16,16,"1,44",16.0,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2138,Antonio Sánchez,es ESP,"FW,MF",Mallorca,es La Liga,29-002,1997,13,5,527,5.9,0.00,0.00,0.00,0.00,0.00,0.00,0.68,0.17,0.02,0.02,0.08,0.10,0.85,2.88,3.22,0.00,0.00,0.00,0.00,0.00,0.02,0.09,0.10,0.02,0.10,Matches
2139,Juanlu Sánchez,es ESP,"DF,FW",Sevilla,es La Liga,22-141,2003,13,10,935,10.4,0.00,0.10,0.10,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.11,0.16,2.69,2.50,5.67,0.00,0.10,0.10,0.00,0.10,0.05,0.11,0.16,0.05,0.16,Matches
2140,Borja Sánchez Laborde,es ESP,MF,Oviedo,es La Liga,29-311,1996,1,0,14,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2141,Robert Sánchez,es ESP,GK,Chelsea,eng Premier League,28-046,1997,19,19,"1,624",18.0,0.00,0.06,0.06,0.00,0.00,0.00,0.11,0.06,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,0.00,0.05,0.05,0.00,0.05,Matches
2142,Selton Sánchez,es ESP,MF,Athletic Club,es La Liga,18-317,2007,4,1,131,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.20,0.07,0.20,0.67,2.67,6.67,0.00,0.00,0.00,0.00,0.00,0.18,0.06,0.24,0.18,0.24,Matches
2143,Jadon Sancho,eng ENG,FW,Aston Villa,eng Premier League,25-284,2000,9,1,225,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.20,0.32,4.00,5.20,11.2,0.00,0.00,0.00,0.00,0.00,0.15,0.19,0.34,0.15,0.34,Matches
2144,Álex Sancris,es ESP,"MF,FW",Getafe,es La Liga,28-350,1997,13,5,595,6.6,0.00,0.15,0.15,0.00,0.00,0.00,0.45,0.15,0.05,0.05,0.11,0.15,2.27,01.06,6.67,0.00,0.15,0.15,0.00,0.15,0.05,0.10,0.15,0.05,0.15,Matches
2145,James Sands,us USA,MF,St. Pauli,de Bundesliga,25-181,2000,14,14,"1,159",12.9,0.00,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.02,0.02,0.03,0.06,0.47,3.80,2.48,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.06,0.03,0.06,Matches
2146,Nhoa Sangui,fr FRA,DF,Paris FC,fr Ligue 1,19-310,2006,9,3,373,4.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.17,0.20,2.44,3.17,5.12,0.00,0.00,0.00,0.00,0.00,0.03,0.16,0.19,0.03,0.19,Matches
2147,Morgan Sanson,fr FRA,MF,Nice,fr Ligue 1,31-138,1994,14,3,386,4.3,0.00,0.23,0.23,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.16,0.26,2.56,3.26,02.09,0.00,0.23,0.23,0.00,0.23,0.08,0.17,0.25,0.08,0.25,Matches
2148,Yago Santiago,es ESP,"MF,DF",Elche,es La Liga,22-263,2003,4,1,116,1.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.15,0.23,3.85,2.31,19.2,0.00,0.00,0.00,0.00,0.00,0.10,0.12,0.22,0.10,0.22,Matches
2149,Yellu Santiago,es ESP,MF,Hellas Verona,it Serie A,21-223,2004,2,0,6,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.34,0.54,0.87,0.34,0.87,Matches
2150,Andrey Santos,br BRA,MF,Chelsea,eng Premier League,21-245,2004,13,4,448,5.0,0.00,0.00,0.00,0.00,0.00,0.00,0.60,0.00,0.18,0.18,0.04,0.22,1.20,5.40,2.80,0.00,0.00,0.00,0.00,0.00,0.17,0.04,0.21,0.17,0.21,Matches
2151,Kauã Santos,br BRA,GK,Eint Frankfurt,de Bundesliga,22-267,2003,4,4,360,4.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
2152,Tiago Santos,pt POR,DF,Lille,fr Ligue 1,23-164,2002,3,1,121,1.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.15,2.31,7.69,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03,Matches
2153,Alejo Sarco,ar ARG,FW,Leverkusen,de Bundesliga,19-362,2006,2,0,49,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.00,0.40,2.00,2.00,6.00,0.00,0.00,0.00,0.00,0.00,0.33,0.03,0.36,0.33,0.36,Matches
